instance,nodes_graph,edges,obj,bound,gap_pct,time_s,time_limit,bb_nodes,lp_iters,lp_iters_strongbr,lp_iters_sep,lp_iters_heur,total_cuts,cut_rounds,sec_cuts,sec_rounds,sec_time,rci_cuts,rci_rounds,rci_time,multistar_cuts,multistar_rounds,multistar_time,rglm_cuts,rglm_rounds,rglm_time,comb_cuts,comb_rounds,comb_time,warmstart_ub,warmstart_time
E-n76-k7_b,76,2850,-0.846,-0.846,0,76.9584,300,3416,151144,0,25697,12668,3973,743,2141,717,0.368,229,153,0.253,1603,567,0.447,0,0,0,0,0,0.047,-0.001,0.50799
E-n76-k8_a,76,2850,-6.635,-6.635,0,38.0915,300,936,75119,0,13741,14388,1894,328,928,315,0.211,134,85,0.234,832,288,0.192,0,0,0,0,0,0.014,-5.276,0.503809
E-n76-k8_b,76,2850,-12.167,-12.167,0,2.78545,300,1,1110,0,1028,0,396,52,156,52,0.058,84,37,0.035,156,52,0.040,0,0,0,0,0,0.001,-12.167,0.508393
F-n135-k7_a,135,9045,-11.825,-11.826,8.45666e-05,587.622,3600,62675,1393974,0,142005,71017,24734,3522,10563,3522,10.088,3647,1822,1.259,10524,3511,5.043,0,0,0,0,0,0.087,-11.825,0.52576
F-n45-k4_a,45,990,-11.967,-11.967,0,1.38001,300,1,397,0,353,0,163,24,72,24,0.004,19,14,0.006,72,24,0.008,0,0,0,0,0,0.000,-11.967,0.462167
F-n72-k4_a,72,2556,0.005,0.005,0,1.73827,300,1,494,0,379,36,134,29,85,29,0.008,1,1,0.003,48,17,0.016,0,0,0,0,0,0.001,0.005,0.563027
M-n121-k7_a,121,7260,-15.261,-15.262,6.55265e-05,1629.59,3600,75772,3447646,0,409843,496313,44505,6301,18893,6298,17.889,6743,3489,2.193,18869,6290,8.843,0,0,0,0,0,0.149,-0.17,0.502497
M-n121-k7_b,121,7260,-6.659,-6.659,0,749.925,3600,20977,1445663,0,206707,101691,19055,2985,8941,2983,6.537,1911,1086,0.899,8203,2783,5.287,0,0,0,0,0,0.128,-6.386,0.503896
M-n151-k12_a,151,11325,-5.799,-5.799,0,1943.51,3600,25763,3077401,0,476964,176165,30736,4649,13913,4643,15.492,3197,1863,1.902,13626,4572,10.903,0,0,0,0,0,0.217,-4.679,0.50319
M-n151-k12_b,151,11325,-0.098,-10.507,106.214,3600.92,3600,121742,6551268,0,1177486,307067,124239,18272,54794,18269,50.672,14807,8637,7.321,54638,18232,33.785,0,0,0,0,0,0.777,-0.098,0.503064
M-n200-k16_a,200,19900,-2.866,-19.133,5.67585,3601.32,3600,106291,3942582,0,685482,199082,91296,13532,40596,13532,60.324,10122,5653,7.795,40578,13528,32.467,0,0,0,0,0,0.598,-2.866,0.5051
M-n200-k16_b,200,19900,-0.15,-15.022,99.1467,3601.17,3600,87908,3768284,0,503666,189855,72876,10530,31568,10527,46.421,9752,5383,6.610,31556,10521,24.353,0,0,0,0,0,0.426,-0.15,0.504273
M-n200-k17_a,200,19900,-4.688,-18.366,2.91766,3601.11,3600,117095,4074101,0,601236,217476,84554,12380,37125,12376,53.633,10326,5890,7.310,37103,12371,31.002,0,0,0,0,0,0.614,-2.816,0.503821
M-n200-k17_b,200,19900,1.11022e-15,-15.867,1.42917e+16,806.673,3600,9459,927556,0,124112,72260,8242,1194,3582,1194,7.041,1081,615,0.821,3579,1194,4.224,0,0,0,0,0,0.068,0,0.503
P-n101-k4_a,101,5050,-7.219,-7.219,0,9.55159,300,391,18786,0,3119,5951,861,126,369,123,0.354,161,63,0.040,331,113,0.216,0,0,0,0,0,0.004,-2.885,0.519756
P-n101-k4_b,101,5050,-7.712,-7.712,0,2.08013,300,1,956,0,854,0,352,48,144,48,0.152,64,23,0.016,144,48,0.057,0,0,0,0,0,0.001,-5.258,0.514867
P-n70-k10_a,70,2415,-2.828,-2.828,0,25.1642,300,2406,127851,0,22295,14463,2691,586,1562,545,0.134,69,56,0.046,1060,393,0.112,0,0,0,0,0,0.007,-2.552,0.500259
P-n70-k10_b,70,2415,-0.238,-0.238,0,37.1267,300,4160,209045,0,37535,12135,4288,825,2323,788,0.222,164,121,0.067,1801,640,0.157,0,0,0,0,0,0.010,-0.238,0.500422
P-n76-k4_a,76,2850,-2.903,-2.903,0,9.7642,300,1045,35999,0,6553,6308,1740,297,866,290,0.287,204,101,0.047,670,238,0.172,0,0,0,0,0,0.006,-1.92,0.503541
P-n76-k4_b,76,2850,-7.048,-7.048,0,1.18844,300,1,649,0,570,0,340,44,132,44,0.076,76,34,0.011,132,44,0.027,0,0,0,0,0,0.000,-7.048,0.503496
P-n76-k5_a,76,2850,-3.96,-3.96,0,13.2336,300,1318,54145,0,8901,6700,1926,345,1012,339,0.237,153,84,0.045,761,277,0.160,0,0,0,0,0,0.007,-3.171,0.501724
P-n76-k5_b,76,2850,-7.405,-7.405,0,1.47785,300,1,976,0,887,0,354,48,144,48,0.061,66,32,0.010,144,48,0.026,0,0,0,0,0,0.000,-7.405,0.502407
